"","dr_no","date_rptd","date_occ","time_occ","area","area_name","rpt_dist_no","part_1_2","crm_cd","crm_cd_desc","vict_age","vict_sex","vict_descent","premis_cd","premis_desc","status","status_desc","crm_cd_1","crm_cd_2","location","lat","lon","mocodes","cross_street","weapon_used_cd","weapon_desc","crm_cd_3","crm_cd_4"
"11","201215394","2020-06-26T00:00:00.000","2020-06-25T00:00:00.000","2200","12","77th Street","1259","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"FLORENCE","33.9747","-118.2587",NA,"WADSWORTH",NA,NA,NA,NA
"12","200406391","2020-03-02T00:00:00.000","2020-03-01T00:00:00.000","1430","04","Hollenbeck","0407","1","310","BURGLARY","27","M","W","221","PUBLIC STORAGE","IC","Invest Cont","310",NA,"4500    HUNTINGTON DR","34.0881","-118.1877","0344 1607",NA,NA,NA,NA,NA
"13","200114396","2020-07-06T00:00:00.000","2020-07-04T00:00:00.000","0100","01","Central","0157","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"6TH                          ST","34.0423","-118.2453",NA,"CROCKER",NA,NA,NA,NA
"14","200912561","2020-07-20T00:00:00.000","2020-07-20T00:00:00.000","0700","09","Van Nuys","0937","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"BESSEMER","34.1812","-118.4356",NA,"RANCHITO",NA,NA,NA,NA
"15","200207955","2020-03-19T00:00:00.000","2020-03-19T00:00:00.000","0130","02","Rampart","0236","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"1900    MIRAMAR                      ST","34.0632","-118.2693",NA,NA,NA,NA,NA,NA
"16","200112598","2020-06-01T00:00:00.000","2020-05-30T00:00:00.000","0030","01","Central","0153","1","310","BURGLARY","0","M","W","201","JEWELRY STORE","AA","Adult Arrest","310",NA,"600 S  BROADWAY","34.0467","-118.252","1609 0344",NA,NA,NA,NA,NA
"17","200905707","2020-02-08T00:00:00.000","2020-02-07T00:00:00.000","2000","09","Van Nuys","0939","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","AO","Adult Other","510",NA,"AETNA","34.1803","-118.4204",NA,"ATOLL",NA,NA,NA,NA
"18","200215463","2020-09-26T00:00:00.000","2020-09-25T00:00:00.000","1900","02","Rampart","0237","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"1600 W  COURT                        ST","34.0668","-118.2627",NA,NA,NA,NA,NA,NA
"19","200308100","2020-03-07T00:00:00.000","2020-03-06T00:00:00.000","2200","03","Southwest","0317","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"VERMONT","34.0344","-118.2915",NA,"24TH",NA,NA,NA,NA
"20","200606074","2020-02-12T00:00:00.000","2020-02-07T00:00:00.000","1615","06","Hollywood","0646","2","805","PIMPING","23","F","H","101","STREET","AA","Adult Arrest","805","998","HOLLYWOOD","34.1016","-118.337","1300 1402","MC CADDEN",NA,NA,NA,NA
"21","200517540","2020-12-07T00:00:00.000","2020-11-30T00:00:00.000","2255","05","Harbor","0541","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"1400    BRETT                        PL","33.7553","-118.3056",NA,NA,NA,NA,NA,NA
"22","200506977","2020-03-10T00:00:00.000","2020-02-22T00:00:00.000","0030","05","Harbor","0511","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","AA","Adult Arrest","510",NA,"1600 W  PACIFIC COAST                HY","33.7926","-118.3043",NA,NA,NA,NA,NA,NA
"23","201110303","2020-06-11T00:00:00.000","2020-06-08T00:00:00.000","2000","11","Northeast","1118","1","310","BURGLARY","0","M","O","203","OTHER BUSINESS","IC","Invest Cont","310",NA,"100    AVENUE 56","34.1089","-118.1942","0344 1607",NA,NA,NA,NA,NA
"24","201000767","2020-07-14T00:00:00.000","2020-07-13T00:00:00.000","2000","10","West Valley","1043","1","330","BURGLARY FROM VEHICLE","41","M","W","108","PARKING LOT","AA","Adult Arrest","330","998","18600    HATTERAS                     ST","34.1774","-118.5387","0344 1602 1822 1402",NA,NA,NA,NA,NA
"25","200510354","2020-06-08T00:00:00.000","2020-06-08T00:00:00.000","0330","05","Harbor","0587","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"2900 S  KERCKHOFF                    AV","33.7179","-118.2898",NA,NA,NA,NA,NA,NA
"26","200410136","2020-06-24T00:00:00.000","2020-06-24T00:00:00.000","0700","04","Hollenbeck","0413","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"300 E  AVENUE 31","34.0809","-118.2132",NA,NA,NA,NA,NA,NA
"27","200814461","2020-09-24T00:00:00.000","2020-09-24T00:00:00.000","1710","08","West LA","0898","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"ROBERTSON                    BL","34.0375","-118.3886",NA,"GIBSON                       ST",NA,NA,NA,NA
"28","201215562","2020-06-29T00:00:00.000","2020-06-29T00:00:00.000","0730","12","77th Street","1263","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"81ST","33.9655","-118.3046",NA,"DENKER",NA,NA,NA,NA
"29","200210168","2020-05-14T00:00:00.000","2020-05-12T00:00:00.000","2100","02","Rampart","0266","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"700 S  UNION                        AV","34.0531","-118.2738",NA,NA,NA,NA,NA,NA
"30","200714301","2020-09-27T00:00:00.000","2020-09-22T00:00:00.000","1430","07","Wilshire","0702","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"800 N  FULLER                       AV","34.0853","-118.3499",NA,NA,NA,NA,NA,NA
"31","200906009","2020-02-14T00:00:00.000","2020-02-13T00:00:00.000","2230","09","Van Nuys","0914","2","806","PANDERING","0","F","X","101","STREET","AO","Adult Other","806","998","SEPULVEDA","34.1958","-118.4662","0908 1212 1402","BASSETT",NA,NA,NA,NA
"32","200218448","2020-12-11T00:00:00.000","2020-12-10T00:00:00.000","2000","02","Rampart","0271","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"900 S  ALVARADO                     ST","34.0529","-118.2819",NA,NA,NA,NA,NA,NA
"33","200618540","2020-11-27T00:00:00.000","2020-11-27T00:00:00.000","0950","06","Hollywood","0642","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"ORANGE","34.0981","-118.3577",NA,"SUNSET",NA,NA,NA,NA
"34","200316510","2020-08-30T00:00:00.000","2020-08-29T00:00:00.000","2050","03","Southwest","0333","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","AO","Adult Other","510",NA,"JEFFERSON","34.0278","-118.3378",NA,"HARCOURT",NA,NA,NA,NA
"35","200504009","2020-01-01T00:00:00.000","2020-01-01T00:00:00.000","2100","05","Harbor","0526","2","946","OTHER MISCELLANEOUS CRIME","0","X","X","101","STREET","AA","Adult Arrest","946",NA,"G","33.7783","-118.2662","1501 0906 1816","ISLAND",NA,NA,NA,NA
"36","200808682","2020-04-25T00:00:00.000","2020-04-21T00:00:00.000","1400","08","West LA","0858","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"8800 W  PICO                         BL","34.0548","-118.3837",NA,NA,NA,NA,NA,NA
"37","200810737","2020-06-17T00:00:00.000","2020-06-16T00:00:00.000","1600","08","West LA","0829","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"1300    WOODRUFF                     AV","34.0633","-118.4292",NA,NA,NA,NA,NA,NA
"38","201116973","2020-12-26T00:00:00.000","2020-12-26T00:00:00.000","0332","11","Northeast","1169","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"200 S  AVENUE 51","34.1038","-118.1987",NA,NA,NA,NA,NA,NA
"39","200510994","2020-06-25T00:00:00.000","2020-06-25T00:00:00.000","0230","05","Harbor","0563","1","510","VEHICLE - STOLEN","0",NA,NA,"108","PARKING LOT","IC","Invest Cont","510",NA,"14TH                         ST","33.7315","-118.2879",NA,"PACIFIC                      AV",NA,NA,NA,NA
"40","201107590","2020-03-22T00:00:00.000","2020-03-21T00:00:00.000","2000","11","Northeast","1137","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"700 N  AVENUE 50","34.1109","-118.2016",NA,NA,NA,NA,NA,NA
"41","200119680","2020-10-19T00:00:00.000","2020-10-18T00:00:00.000","1800","01","Central","0159","1","510","VEHICLE - STOLEN","0",NA,NA,"108","PARKING LOT","IC","Invest Cont","510",NA,"1800    CONWAY                       PL","34.0366","-118.2325",NA,NA,NA,NA,NA,NA
"42","200410224","2020-06-27T00:00:00.000","2020-06-27T00:00:00.000","0400","04","Hollenbeck","0471","1","510","VEHICLE - STOLEN","0",NA,NA,"108","PARKING LOT","IC","Invest Cont","510",NA,"4TH","34.0427","-118.2237",NA,"CLARENCE",NA,NA,NA,NA
"43","200412621","2020-09-10T00:00:00.000","2020-09-09T00:00:00.000","1800","04","Hollenbeck","0467","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"100 S  SOTO                         ST","34.0424","-118.2107",NA,NA,NA,NA,NA,NA
"44","201106871","2020-03-04T00:00:00.000","2020-03-02T00:00:00.000","2130","11","Northeast","1107","2","745","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","50","M","H","101","STREET","IC","Invest Cont","745",NA,"6100    DELPHI                       ST","34.1241","-118.1878",NA,NA,NA,NA,NA,NA
"45","200111627","2020-05-12T00:00:00.000","2020-05-10T00:00:00.000","2200","01","Central","0111","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","30","F","W","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AA","Adult Arrest","626","998","700 N  HILL                         PL","34.0618","-118.2424","2000 0416 0913",NA,"400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"46","200109800","2020-03-29T00:00:00.000","2020-03-29T00:00:00.000","0930","01","Central","0163","1","330","BURGLARY FROM VEHICLE","0","M","W","103","ALLEY","IC","Invest Cont","330",NA,"9TH","34.0416","-118.255","1307 1822 0377 0329 1414 1609 0344","MAIN",NA,NA,NA,NA
"47","201225656","2020-12-02T00:00:00.000","2020-12-02T00:00:00.000","2245","12","77th Street","1268","1","210","ROBBERY","21","M","H","101","STREET","IC","Invest Cont","210",NA,"SAN PEDRO","33.961","-118.2695","0344 0305 0355","85TH                         ST","511","VERBAL THREAT",NA,NA
"48","200309451","2020-04-04T00:00:00.000","2020-04-04T00:00:00.000","1210","03","Southwest","0361","1","310","BURGLARY","19","X","X","301","GAS STATION","IC","Invest Cont","310",NA,"3700 S  LA BREA                      AV","34.0199","-118.3556","0329 0325 0344 1601",NA,NA,NA,NA,NA
"49","200211094","2020-06-08T00:00:00.000","2020-06-06T00:00:00.000","1200","02","Rampart","0237","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0","X","X","247","CAR WASH","IC","Invest Cont","341",NA,"1600 W  TEMPLE                       ST","34.0682","-118.2609","1822 0344 1309 0601",NA,NA,NA,NA,NA
"50","201212036","2020-05-02T00:00:00.000","2020-05-01T00:00:00.000","2330","12","77th Street","1268","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","28","F","B","501","SINGLE FAMILY DWELLING","IC","Invest Cont","230",NA,"100 E  82ND                         ST","33.9654","-118.2739","1822 0411",NA,"201","KNIFE WITH BLADE OVER 6 INCHES IN LENGTH",NA,NA
"51","200914517","2020-09-10T00:00:00.000","2020-09-09T00:00:00.000","1735","09","Van Nuys","0909","2","354","THEFT OF IDENTITY","40","M","O","507","CONDOMINIUM/TOWNHOUSE","IC","Invest Cont","354",NA,"13600    LEADWELL                     ST","34.2039","-118.4312","0377 1822 0928",NA,NA,NA,NA,NA
"52","200105246","2020-01-18T00:00:00.000","2020-01-18T00:00:00.000","0940","01","Central","0118","2","624","BATTERY - SIMPLE ASSAULT","42","M","A","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AA","Adult Arrest","624",NA,"200 E  BLOOM                        ST","34.0639","-118.2295","0913 0400",NA,"400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"53","201106067","2020-02-15T00:00:00.000","2020-02-15T00:00:00.000","1830","11","Northeast","1101","1","330","BURGLARY FROM VEHICLE","43","M","A","108","PARKING LOT","IC","Invest Cont","330",NA,"2700 N  VERMONT                      AV","34.1179","-118.293","0344 0352 1307",NA,NA,NA,NA,NA
"54","201116118","2020-11-27T00:00:00.000","2020-11-23T00:00:00.000","1200","11","Northeast","1141","2","354","THEFT OF IDENTITY","26","M","W","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"2000 N  VERMONT                      AV","34.1095","-118.2958","0930 1822",NA,NA,NA,NA,NA
"55","200716724","2020-12-04T00:00:00.000","2020-12-03T00:00:00.000","0811","07","Wilshire","0722","1","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","19","M","O","203","OTHER BUSINESS","IC","Invest Cont","442",NA,"8400    BEVERLY                      BL","34.0761","-118.3737","0325 0104",NA,NA,NA,NA,NA
"56","200217442","2020-11-15T00:00:00.000","2020-11-15T00:00:00.000","0310","02","Rampart","0218","1","310","BURGLARY","36","M","W","210","RESTAURANT/FAST FOOD","IC","Invest Cont","310",NA,"1500 W  SUNSET                       BL","34.0758","-118.2552","1822 1609 0329 0344 0352",NA,"500","UNKNOWN WEAPON/OTHER WEAPON",NA,NA
"57","200914052","2020-08-27T00:00:00.000","2020-08-27T00:00:00.000","1255","09","Van Nuys","0935","2","624","BATTERY - SIMPLE ASSAULT","57","F","H","102","SIDEWALK","IC","Invest Cont","624",NA,"14100    SYLVAN                       ST","34.1847","-118.44","0444",NA,"400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"58","200810920","2020-06-20T00:00:00.000","2020-06-20T00:00:00.000","1000","08","West LA","0841","2","624","BATTERY - SIMPLE ASSAULT","78","F","W","510","NURSING/CONVALESCENT/RETIREMENT HOME","AO","Adult Other","624",NA,"12100    SANTA MONICA                 BL","34.0423","-118.4656","1202 0448",NA,"400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"59","201112187","2020-08-04T00:00:00.000","2020-07-16T00:00:00.000","1900","11","Northeast","1144","2","662","BUNCO, GRAND THEFT","51","F","W","501","SINGLE FAMILY DWELLING","IC","Invest Cont","662",NA,"2100    HYPERION                     AV","34.099","-118.2738","0701 0913 0361",NA,NA,NA,NA,NA
"60","201212259","2020-05-05T00:00:00.000","2020-05-05T00:00:00.000","0932","12","77th Street","1239","1","343","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","0","X","X","402","MARKET","IC","Invest Cont","343",NA,"5900 S  FIGUEROA                     ST","33.9874","-118.2827","0315 0325 0344 0324",NA,NA,NA,NA,NA
"61","200918185","2020-12-07T00:00:00.000","2020-12-07T00:00:00.000","1203","09","Van Nuys","0935","2","900","VIOLATION OF COURT ORDER","52","F","W","725","GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)","AA","Adult Arrest","900",NA,"6200    SYLMAR                       AV","34.1837","-118.4465","2000 2038",NA,NA,NA,NA,NA
"62","200105289","2020-01-19T00:00:00.000","2020-01-16T00:00:00.000","1700","01","Central","0119","1","510","VEHICLE - STOLEN","0",NA,NA,"104","DRIVEWAY","IC","Invest Cont","510",NA,"400    BAUCHET                      ST","34.0587","-118.233",NA,NA,NA,NA,NA,NA
"63","200516527","2020-11-12T00:00:00.000","2020-11-12T00:00:00.000","0430","05","Harbor","0508","1","510","VEHICLE - STOLEN","0",NA,NA,"104","DRIVEWAY","IC","Invest Cont","510",NA,"23400    PRESIDENT                    AV","33.8129","-118.3071",NA,NA,NA,NA,NA,NA
"64","200609101","2020-04-15T00:00:00.000","2020-04-12T00:00:00.000","1300","06","Hollywood","0648","1","510","VEHICLE - STOLEN","0",NA,NA,"108","PARKING LOT","AO","Adult Other","510",NA,"5700    HOLLYWOOD                    BL","34.1017","-118.3136",NA,NA,NA,NA,NA,NA
"65","201210786","2020-04-11T00:00:00.000","2020-04-11T00:00:00.000","2035","12","77th Street","1259","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","26","F","B","103","ALLEY","IC","Invest Cont","230",NA,"74TH                         ST","33.973","-118.2652","1822 2024 0445 0411 1218 2033","AVALON","215","MACHETE",NA,NA
"66","200706211","2020-02-17T00:00:00.000","2020-02-16T00:00:00.000","2350","07","Wilshire","0734","2","624","BATTERY - SIMPLE ASSAULT","29","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other","624",NA,"6000 W  6TH                          ST","34.0677","-118.3548","0444",NA,"400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"67","200514277","2020-09-17T00:00:00.000","2020-09-17T00:00:00.000","2255","05","Harbor","0558","2","901","VIOLATION OF RESTRAINING ORDER","46","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other","901",NA,"200 W  AMAR                         ST","33.7478","-118.2822","1813 2000 2038",NA,NA,NA,NA,NA
"68","200506268","2020-02-22T00:00:00.000","2020-02-22T00:00:00.000","1900","05","Harbor","0511","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","29","F","W","102","SIDEWALK","IC","Invest Cont","440","624","PACIFIC COAST","33.7926","-118.3043","0319 0344 0429 0448 0305","VERMONT","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"69","200119908","2020-10-24T00:00:00.000","2020-10-23T00:00:00.000","2330","01","Central","0185","1","330","BURGLARY FROM VEHICLE","0","F","B","108","PARKING LOT","IC","Invest Cont","330",NA,"1000 S  BROADWAY","34.0406","-118.2578","1609 0344 1307 1822 0329",NA,NA,NA,NA,NA
"70","200206940","2020-02-27T00:00:00.000","2020-02-27T00:00:00.000","1255","02","Rampart","0216","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","28","M","H","101","STREET","IC","Invest Cont","230",NA,"BELLEVUE                     AV","34.0751","-118.2717","1822 0202 1309 1310 0906 0302 1100 0430","CORONADO                     ST","102","HAND GUN",NA,NA
"71","200709456","2020-05-20T00:00:00.000","2020-05-20T00:00:00.000","1250","07","Wilshire","0773","1","330","BURGLARY FROM VEHICLE","53","F","W","501","SINGLE FAMILY DWELLING","IC","Invest Cont","330",NA,"1800 S  COCHRAN                      AV","34.0443","-118.3538","1300 1309 1607 0344 0326",NA,NA,NA,NA,NA
"72","201014375","2020-10-24T00:00:00.000","2020-10-23T00:00:00.000","2330","10","West Valley","1025","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0","M","W","210","RESTAURANT/FAST FOOD","IC","Invest Cont","740",NA,"6800    RESEDA                       BL","34.1939","-118.536","0329 1822 1420",NA,NA,NA,NA,NA
"73","200117110","2020-08-28T00:00:00.000","2020-05-01T00:00:00.000","0100","01","Central","0154","1","121","RAPE, FORCIBLE","22","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","121",NA,"500 S  MAIN                         ST","34.0465","-118.2488","0537 0527 1814 0522 0516 2000 1206 2001 0913",NA,"400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"74","200610130","2020-05-11T00:00:00.000","2020-05-11T00:00:00.000","1130","06","Hollywood","0645","1","210","ROBBERY","0","X","X","401","MINI-MART","AA","Adult Arrest","210",NA,"7000 W  SUNSET                       BL","34.098","-118.3416","0325 0601 0104 0400 0945 1822",NA,"400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"75","200714035","2020-09-20T00:00:00.000","2020-09-01T00:00:00.000","0001","07","Wilshire","0715","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","70","F","W","101","STREET","IC","Invest Cont","331",NA,"400 N  ALTA VISTA                   BL","34.0783","-118.3474","1822 0344 1300 0385",NA,NA,NA,NA,NA
"76","200210863","2020-06-01T00:00:00.000","2020-06-01T00:00:00.000","1525","02","Rampart","0235","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"2200    VALLEY                       ST","34.0653","-118.2725",NA,NA,NA,NA,NA,NA
"77","200911839","2020-07-02T00:00:00.000","2020-06-26T00:00:00.000","1200","09","Van Nuys","0974","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","36","M","W","101","STREET","IC","Invest Cont","331",NA,"4600    WILLIS                       AV","34.1545","-118.4552","0344 0385",NA,NA,NA,NA,NA
"78","200615995","2020-09-28T00:00:00.000","2020-09-27T00:00:00.000","0035","06","Hollywood","0646","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0","X","X","203","OTHER BUSINESS","IC","Invest Cont","740",NA,"6600 W  SUNSET                       BL","34.098","-118.3335","0329 1822",NA,NA,NA,NA,NA
"79","200200760","2020-07-07T00:00:00.000","2020-07-07T00:00:00.000","1620","02","Rampart","0241","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","45","M","B","102","SIDEWALK","IC","Invest Cont","230",NA,"6TH                          ST","34.0628","-118.2821","2004 0334 0445 0416 1822 1218 0429 1223 0400","BENTON                       WY","500","UNKNOWN WEAPON/OTHER WEAPON",NA,NA
"80","201115543","2020-11-08T00:00:00.000","2020-11-08T00:00:00.000","1500","11","Northeast","1183","1","330","BURGLARY FROM VEHICLE","42","M","W","101","STREET","IC","Invest Cont","330",NA,"1600 N  ALVARADO                     ST","34.0834","-118.2599","0344 1612",NA,NA,NA,NA,NA
"81","200320615","2020-11-18T00:00:00.000","2020-11-11T00:00:00.000","2300","03","Southwest","0327","1","480","BIKE - STOLEN","22","M","W","121","YARD (RESIDENTIAL/BUSINESS)","IC","Invest Cont","480",NA,"2600    ORCHARD                      AV","34.0303","-118.2874","0344 1822",NA,NA,NA,NA,NA
"82","200200724","2020-06-05T00:00:00.000","2020-06-04T00:00:00.000","1850","02","Rampart","0202","2","624","BATTERY - SIMPLE ASSAULT","39","M","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AA","Adult Arrest","624",NA,"4300    NORMAL                       AV","34.0888","-118.2881","0913 0554 0508 0602 2001",NA,"400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"83","201007153","2020-03-12T00:00:00.000","2020-03-12T00:00:00.000","0640","10","West Valley","1001","2","888","TRESPASSING","45","F","H","501","SINGLE FAMILY DWELLING","AA","Adult Arrest","888",NA,"19500    INGOMAR                      ST","34.212","-118.5579","1822 2004",NA,NA,NA,NA,NA
"84","201308239","2020-03-16T00:00:00.000","2020-02-28T00:00:00.000","2300","13","Newton","1333","2","745","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","62","M","W","510","NURSING/CONVALESCENT/RETIREMENT HOME","IC","Invest Cont","745",NA,"1000 E  28TH                         ST","34.0175","-118.2574","1202 0329",NA,NA,NA,NA,NA
"85","200506936","2020-03-09T00:00:00.000","2020-03-08T00:00:00.000","1830","05","Harbor","0506","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"WESTERN                      AV","33.8268","-118.309",NA,"221ST                        ST",NA,NA,NA,NA
"86","201217850","2020-08-04T00:00:00.000","2020-08-04T00:00:00.000","1000","12","77th Street","1249","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","31","F","H","501","SINGLE FAMILY DWELLING","AO","Adult Other","626",NA,"6700 S  FIGUEROA                     ST","33.9786","-118.2827","0400 0416 2000 1814 0913",NA,"400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
